Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,Day_of_Week
58,Innovate Industries,Email,Men 18-24,60 days,Email,6.0,17305.0,2.7,New York,French,569,1850,2,Fashionistas,2021-02-27,30.756756756756758,Saturday
59,Alpha Innovations,Email,Women 25-34,45 days,Email,4.0,18063.0,4.93,Chicago,English,330,6920,6,Foodies,2021-02-28,4.76878612716763,Sunday
61,DataTech Solutions,Email,Men 25-34,45 days,Email,5.0,8785.0,2.27,New York,German,849,9217,5,Fashionistas,2021-03-02,9.211240099815559,Tuesday
62,TechCorp,Email,Men 25-34,30 days,Email,9.0,13848.0,5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,2021-03-03,13.329928498467824,Wednesday
92,TechCorp,Email,Men 25-34,45 days,Email,9.0,17705.0,7.0,New York,Spanish,628,9545,4,Outdoor Adventurers,2021-04-02,6.579360921948664,Friday
108,TechCorp,Email,All Ages,45 days,Email,6.0,5514.0,7.32,Miami,German,740,4550,1,Outdoor Adventurers,2021-04-18,16.263736263736263,Sunday
128,NexGen Systems,Email,All Ages,15 days,Email,8.0,17847.0,6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,2021-05-08,10.390469887491726,Saturday
136,NexGen Systems,Email,Men 18-24,30 days,Email,15.0,9229.0,3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,2021-05-16,15.65260876812802,Sunday
141,NexGen Systems,Email,Women 25-34,15 days,Email,8.0,5599.0,3.43,Houston,English,571,2404,3,Fashionistas,2021-05-21,23.752079866888522,Friday
165,TechCorp,Email,Men 25-34,30 days,Email,7.000000000000001,11587.0,3.17,Houston,English,716,2676,9,Foodies,2021-06-14,26.756352765321374,Monday
187,NexGen Systems,Email,Men 25-34,60 days,Email,13.0,14231.0,6.28,Chicago,Mandarin,312,8509,3,Health & Wellness,2021-07-06,3.666705840874368,Tuesday
195,DataTech Solutions,Email,All Ages,45 days,Email,7.000000000000001,5272.0,3.62,Chicago,Spanish,939,9590,9,Foodies,2021-07-14,9.791449426485922,Wednesday
221,Alpha Innovations,Email,Men 18-24,15 days,Email,2.0,5941.0,6.73,Miami,French,715,8580,2,Tech Enthusiasts,2021-08-09,8.333333333333332,Monday
269,Alpha Innovations,Email,Women 25-34,45 days,Email,9.0,17232.0,3.77,Houston,French,354,9225,3,Health & Wellness,2021-09-26,3.83739837398374,Sunday
279,DataTech Solutions,Email,Men 18-24,30 days,Email,14.000000000000002,12494.0,7.56,Miami,German,631,9863,10,Fashionistas,2021-10-06,6.397647774510798,Wednesday
327,Alpha Innovations,Email,Men 25-34,30 days,Email,3.0,6398.0,6.12,New York,German,326,7358,4,Fashionistas,2021-11-23,4.430551780375102,Tuesday
372,TechCorp,Email,Men 25-34,30 days,Email,9.0,14392.0,6.94,Chicago,German,849,3258,5,Tech Enthusiasts,2021-01-07,26.058931860036832,Thursday
422,Alpha Innovations,Email,Men 25-34,30 days,Email,10.0,9036.0,2.76,Los Angeles,Mandarin,140,6245,7,Health & Wellness,2021-02-26,2.241793434747798,Friday
424,Alpha Innovations,Email,Men 25-34,30 days,Email,7.000000000000001,17735.0,6.6,Miami,English,124,2072,10,Outdoor Adventurers,2021-02-28,5.984555984555985,Sunday
483,NexGen Systems,Email,Men 25-34,15 days,Email,9.0,18035.0,7.03,Miami,English,147,6930,4,Tech Enthusiasts,2021-04-28,2.1212121212121215,Wednesday
487,DataTech Solutions,Email,Men 18-24,15 days,Email,14.000000000000002,19562.0,6.35,Chicago,Mandarin,194,9417,10,Foodies,2021-05-02,2.0601040671126687,Sunday
542,DataTech Solutions,Email,Women 25-34,45 days,Email,12.0,14740.0,2.29,Chicago,Spanish,941,4716,2,Fashionistas,2021-06-26,19.953350296861746,Saturday
553,Innovate Industries,Email,Women 25-34,30 days,Email,4.0,16512.0,2.81,Chicago,English,588,4161,10,Fashionistas,2021-07-07,14.131218457101657,Wednesday
561,TechCorp,Email,All Ages,60 days,Email,10.0,18996.0,3.12,Los Angeles,Spanish,890,8676,4,Health & Wellness,2021-07-15,10.258183494698017,Thursday
579,TechCorp,Email,Women 25-34,30 days,Email,12.0,5070.0,3.7,New York,German,934,3769,4,Tech Enthusiasts,2021-08-02,24.781109047492702,Monday
623,Alpha Innovations,Email,All Ages,15 days,Email,9.0,7740.0,7.54,Chicago,Spanish,899,5144,6,Tech Enthusiasts,2021-09-15,17.476671850699844,Wednesday
640,Alpha Innovations,Email,Men 25-34,45 days,Email,3.0,10127.0,7.04,Miami,German,938,9741,2,Tech Enthusiasts,2021-10-02,9.629401498819423,Saturday
676,NexGen Systems,Email,Women 35-44,15 days,Email,3.0,19021.0,4.19,Miami,Mandarin,371,9059,9,Outdoor Adventurers,2021-11-07,4.095374765426647,Sunday
680,NexGen Systems,Email,Women 25-34,30 days,Email,14.000000000000002,17496.0,2.06,Chicago,Spanish,532,7955,10,Outdoor Adventurers,2021-11-11,6.6876178504085475,Thursday
811,Alpha Innovations,Email,Men 25-34,15 days,Email,8.0,10807.0,4.55,Los Angeles,German,556,9389,8,Tech Enthusiasts,2021-03-22,5.921823410373841,Monday
831,Alpha Innovations,Email,Women 25-34,30 days,Email,3.0,11195.0,7.02,Chicago,Spanish,188,3931,10,Fashionistas,2021-04-11,4.782498092088527,Sunday
836,DataTech Solutions,Email,Men 25-34,60 days,Email,3.0,6633.0,6.05,Miami,German,876,2847,5,Fashionistas,2021-04-16,30.76923076923077,Friday
839,Innovate Industries,Email,Men 18-24,15 days,Email,3.0,19280.0,3.51,Miami,English,695,2349,3,Tech Enthusiasts,2021-04-19,29.587058322690506,Monday
845,Alpha Innovations,Email,Women 35-44,45 days,Email,9.0,14492.0,6.68,Los Angeles,English,330,7555,9,Tech Enthusiasts,2021-04-25,4.367968232958306,Sunday
846,Innovate Industries,Email,Men 25-34,15 days,Email,15.0,10251.0,5.52,Chicago,Spanish,201,8342,6,Health & Wellness,2021-04-26,2.409494126108847,Monday
870,TechCorp,Email,Men 18-24,30 days,Email,12.0,19434.0,5.26,Los Angeles,English,446,3227,6,Foodies,2021-05-20,13.82088627207933,Thursday
885,NexGen Systems,Email,All Ages,45 days,Email,14.000000000000002,15559.0,3.48,Los Angeles,Spanish,374,9474,7,Outdoor Adventurers,2021-06-04,3.947646189571459,Friday
1008,NexGen Systems,Email,Women 25-34,15 days,Email,6.0,19957.0,6.6,Chicago,English,800,4302,3,Outdoor Adventurers,2021-10-05,18.596001859600186,Tuesday
1070,Alpha Innovations,Email,Women 35-44,60 days,Email,14.000000000000002,15534.0,3.85,Miami,English,405,8649,2,Tech Enthusiasts,2021-12-06,4.682622268470343,Monday
1136,DataTech Solutions,Email,Men 18-24,15 days,Email,5.0,10596.0,2.03,Chicago,German,768,9505,2,Health & Wellness,2021-02-10,8.07995791688585,Wednesday
1158,DataTech Solutions,Email,Men 18-24,45 days,Email,10.0,12367.0,3.35,New York,German,299,1863,2,Fashionistas,2021-03-04,16.049382716049383,Thursday
1212,DataTech Solutions,Email,Women 25-34,45 days,Email,4.0,12054.0,6.48,Los Angeles,Spanish,140,4599,8,Fashionistas,2021-04-27,3.0441400304414,Tuesday
1213,TechCorp,Email,Women 35-44,60 days,Email,6.0,15947.0,5.73,Miami,Spanish,198,1820,1,Foodies,2021-04-28,10.87912087912088,Wednesday
1217,TechCorp,Email,Women 35-44,30 days,Email,12.0,9014.0,2.19,New York,French,481,8990,5,Outdoor Adventurers,2021-05-02,5.350389321468298,Sunday
1231,DataTech Solutions,Email,All Ages,15 days,Email,5.0,6747.0,7.67,Los Angeles,Mandarin,387,5694,10,Health & Wellness,2021-05-16,6.796628029504742,Sunday
